"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"35-44 years"	"35-44"	13	7244	Unreliable
	"Autauga County, AL"	"01001"	"45-54 years"	"45-54"	38	7777	488.6
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	76	7164	1060.9
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	117	4900	2387.8
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	150	2882	5204.7
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	129	871	14810.6
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	10	2255	Unreliable
	"Baldwin County, AL"	"01003"	"15-24 years"	"15-24"	24	24040	99.8
	"Baldwin County, AL"	"01003"	"25-34 years"	"25-34"	38	24528	154.9
	"Baldwin County, AL"	"01003"	"35-44 years"	"35-44"	53	26033	203.6
	"Baldwin County, AL"	"01003"	"45-54 years"	"45-54"	129	28703	449.4
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	297	31409	945.6
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	543	26738	2030.8
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	613	13529	4531.0
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	642	4304	14916.4
	"Barbour County, AL"	"01005"	"35-44 years"	"35-44"	11	2981	Unreliable
	"Barbour County, AL"	"01005"	"45-54 years"	"45-54"	15	3227	Unreliable
	"Barbour County, AL"	"01005"	"55-64 years"	"55-64"	50	3211	1557.1
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	76	2877	2641.6
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	78	1483	5259.6
	"Barbour County, AL"	"01005"	"85+ years"	"85+"	69	472	14618.6
	"Bibb County, AL"	"01007"	"35-44 years"	"35-44"	11	2952	Unreliable
	"Bibb County, AL"	"01007"	"45-54 years"	"45-54"	21	3179	660.6
	"Bibb County, AL"	"01007"	"55-64 years"	"55-64"	43	2897	1484.3
	"Bibb County, AL"	"01007"	"65-74 years"	"65-74"	68	2174	3127.9
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	66	1153	5724.2
	"Bibb County, AL"	"01007"	"85+ years"	"85+"	56	363	15427.0
	"Blount County, AL"	"01009"	"25-34 years"	"25-34"	14	6934	Unreliable
	"Blount County, AL"	"01009"	"35-44 years"	"35-44"	18	7067	Unreliable
	"Blount County, AL"	"01009"	"45-54 years"	"45-54"	43	7818	550.0
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	96	7630	1258.2
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	150	6243	2402.7
	"Blount County, AL"	"01009"	"75-84 years"	"75-84"	190	3273	5805.1
