"Notes"	"County"	"County Code"	"Ethnicity"	"Ethnicity Code"	Population
	"Autauga County, AL"	"01001"	"Hispanic or Latino"	"2135-2"	1671
	"Autauga County, AL"	"01001"	"Not Hispanic or Latino"	"2186-5"	54198
"Total"	"Autauga County, AL"	"01001"			55869
	"Baldwin County, AL"	"01003"	"Hispanic or Latino"	"2135-2"	10534
	"Baldwin County, AL"	"01003"	"Not Hispanic or Latino"	"2186-5"	212700
"Total"	"Baldwin County, AL"	"01003"			223234
	"Barbour County, AL"	"01005"	"Hispanic or Latino"	"2135-2"	1117
	"Barbour County, AL"	"01005"	"Not Hispanic or Latino"	"2186-5"	23569
"Total"	"Barbour County, AL"	"01005"			24686
	"Bibb County, AL"	"01007"	"Hispanic or Latino"	"2135-2"	623
	"Bibb County, AL"	"01007"	"Not Hispanic or Latino"	"2186-5"	21771
"Total"	"Bibb County, AL"	"01007"			22394
	"Blount County, AL"	"01009"	"Hispanic or Latino"	"2135-2"	5582
	"Blount County, AL"	"01009"	"Not Hispanic or Latino"	"2186-5"	52244
"Total"	"Blount County, AL"	"01009"			57826
	"Bullock County, AL"	"01011"	"Hispanic or Latino"	"2135-2"	864
	"Bullock County, AL"	"01011"	"Not Hispanic or Latino"	"2186-5"	9237
"Total"	"Bullock County, AL"	"01011"			10101
	"Butler County, AL"	"01013"	"Hispanic or Latino"	"2135-2"	289
	"Butler County, AL"	"01013"	"Not Hispanic or Latino"	"2186-5"	19159
"Total"	"Butler County, AL"	"01013"			19448
	"Calhoun County, AL"	"01015"	"Hispanic or Latino"	"2135-2"	4614
	"Calhoun County, AL"	"01015"	"Not Hispanic or Latino"	"2186-5"	108991
"Total"	"Calhoun County, AL"	"01015"			113605
	"Chambers County, AL"	"01017"	"Hispanic or Latino"	"2135-2"	871
	"Chambers County, AL"	"01017"	"Not Hispanic or Latino"	"2186-5"	32383
"Total"	"Chambers County, AL"	"01017"			33254
	"Cherokee County, AL"	"01019"	"Hispanic or Latino"	"2135-2"	449
	"Cherokee County, AL"	"01019"	"Not Hispanic or Latino"	"2186-5"	25747
"Total"	"Cherokee County, AL"	"01019"			26196
	"Chilton County, AL"	"01021"	"Hispanic or Latino"	"2135-2"	3636
	"Chilton County, AL"	"01021"	"Not Hispanic or Latino"	"2186-5"	40792
"Total"	"Chilton County, AL"	"01021"			44428
	"Choctaw County, AL"	"01023"	"Hispanic or Latino"	"2135-2"	128
	"Choctaw County, AL"	"01023"	"Not Hispanic or Latino"	"2186-5"	12461
"Total"	"Choctaw County, AL"	"01023"			12589
	"Clarke County, AL"	"01025"	"Hispanic or Latino"	"2135-2"	310
	"Clarke County, AL"	"01025"	"Not Hispanic or Latino"	"2186-5"	23312
"Total"	"Clarke County, AL"	"01025"			23622
	"Clay County, AL"	"01027"	"Hispanic or Latino"	"2135-2"	435
