"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Population
	"Autauga County, AL"	"01001"	"Female"	"F"	28777
	"Autauga County, AL"	"01001"	"Male"	"M"	27092
"Total"	"Autauga County, AL"	"01001"			55869
	"Baldwin County, AL"	"01003"	"Female"	"F"	114987
	"Baldwin County, AL"	"01003"	"Male"	"M"	108247
"Total"	"Baldwin County, AL"	"01003"			223234
	"Barbour County, AL"	"01005"	"Female"	"F"	11622
	"Barbour County, AL"	"01005"	"Male"	"M"	13064
"Total"	"Barbour County, AL"	"01005"			24686
	"Bibb County, AL"	"01007"	"Female"	"F"	10465
	"Bibb County, AL"	"01007"	"Male"	"M"	11929
"Total"	"Bibb County, AL"	"01007"			22394
	"Blount County, AL"	"01009"	"Female"	"F"	29354
	"Blount County, AL"	"01009"	"Male"	"M"	28472
"Total"	"Blount County, AL"	"01009"			57826
	"Bullock County, AL"	"01011"	"Female"	"F"	4593
	"Bullock County, AL"	"01011"	"Male"	"M"	5508
"Total"	"Bullock County, AL"	"01011"			10101
	"Butler County, AL"	"01013"	"Female"	"F"	10424
	"Butler County, AL"	"01013"	"Male"	"M"	9024
"Total"	"Butler County, AL"	"01013"			19448
	"Calhoun County, AL"	"01015"	"Female"	"F"	59124
	"Calhoun County, AL"	"01015"	"Male"	"M"	54481
"Total"	"Calhoun County, AL"	"01015"			113605
	"Chambers County, AL"	"01017"	"Female"	"F"	17359
	"Chambers County, AL"	"01017"	"Male"	"M"	15895
"Total"	"Chambers County, AL"	"01017"			33254
	"Cherokee County, AL"	"01019"	"Female"	"F"	13270
	"Cherokee County, AL"	"01019"	"Male"	"M"	12926
"Total"	"Cherokee County, AL"	"01019"			26196
	"Chilton County, AL"	"01021"	"Female"	"F"	22628
	"Chilton County, AL"	"01021"	"Male"	"M"	21800
"Total"	"Chilton County, AL"	"01021"			44428
	"Choctaw County, AL"	"01023"	"Female"	"F"	6651
	"Choctaw County, AL"	"01023"	"Male"	"M"	5938
"Total"	"Choctaw County, AL"	"01023"			12589
	"Clarke County, AL"	"01025"	"Female"	"F"	12469
	"Clarke County, AL"	"01025"	"Male"	"M"	11153
"Total"	"Clarke County, AL"	"01025"			23622
	"Clay County, AL"	"01027"	"Female"	"F"	6788
	"Clay County, AL"	"01027"	"Male"	"M"	6447
"Total"	"Clay County, AL"	"01027"			13235
	"Cleburne County, AL"	"01029"	"Female"	"F"	7570
	"Cleburne County, AL"	"01029"	"Male"	"M"	7340
"Total"	"Cleburne County, AL"	"01029"			14910
	"Coffee County, AL"	"01031"	"Female"	"F"	26600
	"Coffee County, AL"	"01031"	"Male"	"M"	25742
"Total"	"Coffee County, AL"	"01031"			52342
	"Colbert County, AL"	"01033"	"Female"	"F"	28833
	"Colbert County, AL"	"01033"	"Male"	"M"	26408
"Total"	"Colbert County, AL"	"01033"			55241
	"Conecuh County, AL"	"01035"	"Female"	"F"	6309
	"Conecuh County, AL"	"01035"	"Male"	"M"	5758
"Total"	"Conecuh County, AL"	"01035"			12067
	"Coosa County, AL"	"01037"	"Female"	"F"	5328
	"Coosa County, AL"	"01037"	"Male"	"M"	5335
"Total"	"Coosa County, AL"	"01037"			10663
	"Covington County, AL"	"01039"	"Female"	"F"	19122
	"Covington County, AL"	"01039"	"Male"	"M"	17927
"Total"	"Covington County, AL"	"01039"			37049
	"Crenshaw County, AL"	"01041"	"Female"	"F"	7087
	"Crenshaw County, AL"	"01041"	"Male"	"M"	6685
"Total"	"Crenshaw County, AL"	"01041"			13772
	"Cullman County, AL"	"01043"	"Female"	"F"	42360
	"Cullman County, AL"	"01043"	"Male"	"M"	41408
"Total"	"Cullman County, AL"	"01043"			83768
	"Dale County, AL"	"01045"	"Female"	"F"	24958
	"Dale County, AL"	"01045"	"Male"	"M"	24214
"Total"	"Dale County, AL"	"01045"			49172
	"Dallas County, AL"	"01047"	"Female"	"F"	20018
	"Dallas County, AL"	"01047"	"Male"	"M"	17178
"Total"	"Dallas County, AL"	"01047"			37196
	"DeKalb County, AL"	"01049"	"Female"	"F"	35936
	"DeKalb County, AL"	"01049"	"Male"	"M"	35577
"Total"	"DeKalb County, AL"	"01049"			71513
	"Elmore County, AL"	"01051"	"Female"	"F"	41973
	"Elmore County, AL"	"01051"	"Male"	"M"	39236
"Total"	"Elmore County, AL"	"01051"			81209
	"Escambia County, AL"	"01053"	"Female"	"F"	18208
	"Escambia County, AL"	"01053"	"Male"	"M"	18425
"Total"	"Escambia County, AL"	"01053"			36633
	"Etowah County, AL"	"01055"	"Female"	"F"	52772
	"Etowah County, AL"	"01055"	"Male"	"M"	49496
"Total"	"Etowah County, AL"	"01055"			102268
	"Fayette County, AL"	"01057"	"Female"	"F"	8365
	"Fayette County, AL"	"01057"	"Male"	"M"	7937
"Total"	"Fayette County, AL"	"01057"			16302
	"Franklin County, AL"	"01059"	"Female"	"F"	15580
	"Franklin County, AL"	"01059"	"Male"	"M"	15782
"Total"	"Franklin County, AL"	"01059"			31362
	"Geneva County, AL"	"01061"	"Female"	"F"	13444
	"Geneva County, AL"	"01061"	"Male"	"M"	12827
"Total"	"Geneva County, AL"	"01061"			26271
	"Greene County, AL"	"01063"	"Female"	"F"	4282
	"Greene County, AL"	"01063"	"Male"	"M"	3829
"Total"	"Greene County, AL"	"01063"			8111
	"Hale County, AL"	"01065"	"Female"	"F"	7701
	"Hale County, AL"	"01065"	"Male"	"M"	6950
"Total"	"Hale County, AL"	"01065"			14651
	"Henry County, AL"	"01067"	"Female"	"F"	8896
	"Henry County, AL"	"01067"	"Male"	"M"	8309
"Total"	"Henry County, AL"	"01067"			17205
	"Houston County, AL"	"01069"	"Female"	"F"	55254
	"Houston County, AL"	"01069"	"Male"	"M"	50628
"Total"	"Houston County, AL"	"01069"			105882
	"Jackson County, AL"	"01071"	"Female"	"F"	26259
	"Jackson County, AL"	"01071"	"Male"	"M"	25367
"Total"	"Jackson County, AL"	"01071"			51626
	"Jefferson County, AL"	"01073"	"Female"	"F"	347341
	"Jefferson County, AL"	"01073"	"Male"	"M"	311232
"Total"	"Jefferson County, AL"	"01073"			658573
	"Lamar County, AL"	"01075"	"Female"	"F"	7045
	"Lamar County, AL"	"01075"	"Male"	"M"	6760
"Total"	"Lamar County, AL"	"01075"			13805
	"Lauderdale County, AL"	"01077"	"Female"	"F"	48239
	"Lauderdale County, AL"	"01077"	"Male"	"M"	44490
"Total"	"Lauderdale County, AL"	"01077"			92729
	"Lawrence County, AL"	"01079"	"Female"	"F"	16890
	"Lawrence County, AL"	"01079"	"Male"	"M"	16034
"Total"	"Lawrence County, AL"	"01079"			32924
	"Lee County, AL"	"01081"	"Female"	"F"	83702
	"Lee County, AL"	"01081"	"Male"	"M"	80840
"Total"	"Lee County, AL"	"01081"			164542
	"Limestone County, AL"	"01083"	"Female"	"F"	49471
	"Limestone County, AL"	"01083"	"Male"	"M"	49444
"Total"	"Limestone County, AL"	"01083"			98915
	"Lowndes County, AL"	"01085"	"Female"	"F"	5156
	"Lowndes County, AL"	"01085"	"Male"	"M"	4570
"Total"	"Lowndes County, AL"	"01085"			9726
	"Macon County, AL"	"01087"	"Female"	"F"	9850
	"Macon County, AL"	"01087"	"Male"	"M"	8218
"Total"	"Macon County, AL"	"01087"			18068
	"Madison County, AL"	"01089"	"Female"	"F"	190543
	"Madison County, AL"	"01089"	"Male"	"M"	182366
"Total"	"Madison County, AL"	"01089"			372909
	"Marengo County, AL"	"01091"	"Female"	"F"	10024
	"Marengo County, AL"	"01091"	"Male"	"M"	8839
"Total"	"Marengo County, AL"	"01091"			18863
	"Marion County, AL"	"01093"	"Female"	"F"	15083
	"Marion County, AL"	"01093"	"Male"	"M"	14626
"Total"	"Marion County, AL"	"01093"			29709
	"Marshall County, AL"	"01095"	"Female"	"F"	49057
	"Marshall County, AL"	"01095"	"Male"	"M"	47717
"Total"	"Marshall County, AL"	"01095"			96774
	"Mobile County, AL"	"01097"	"Female"	"F"	216836
	"Mobile County, AL"	"01097"	"Male"	"M"	196374
"Total"	"Mobile County, AL"	"01097"			413210
	"Monroe County, AL"	"01099"	"Female"	"F"	10864
	"Monroe County, AL"	"01099"	"Male"	"M"	9869
"Total"	"Monroe County, AL"	"01099"			20733
	"Montgomery County, AL"	"01101"	"Female"	"F"	120092
	"Montgomery County, AL"	"01101"	"Male"	"M"	106394
"Total"	"Montgomery County, AL"	"01101"			226486
	"Morgan County, AL"	"01103"	"Female"	"F"	60791
	"Morgan County, AL"	"01103"	"Male"	"M"	58888
"Total"	"Morgan County, AL"	"01103"			119679
	"Perry County, AL"	"01105"	"Female"	"F"	4771
	"Perry County, AL"	"01105"	"Male"	"M"	4152
"Total"	"Perry County, AL"	"01105"			8923
	"Pickens County, AL"	"01107"	"Female"	"F"	9916
	"Pickens County, AL"	"01107"	"Male"	"M"	10014
"Total"	"Pickens County, AL"	"01107"			19930
	"Pike County, AL"	"01109"	"Female"	"F"	17195
	"Pike County, AL"	"01109"	"Male"	"M"	15919
"Total"	"Pike County, AL"	"01109"			33114
	"Randolph County, AL"	"01111"	"Female"	"F"	11644
	"Randolph County, AL"	"01111"	"Male"	"M"	11078
"Total"	"Randolph County, AL"	"01111"			22722
	"Russell County, AL"	"01113"	"Female"	"F"	30194
	"Russell County, AL"	"01113"	"Male"	"M"	27767
"Total"	"Russell County, AL"	"01113"			57961
	"St. Clair County, AL"	"01115"	"Female"	"F"	45160
	"St. Clair County, AL"	"01115"	"Male"	"M"	44352
"Total"	"St. Clair County, AL"	"01115"			89512
	"Shelby County, AL"	"01117"	"Female"	"F"	112499
	"Shelby County, AL"	"01117"	"Male"	"M"	105203
"Total"	"Shelby County, AL"	"01117"			217702
	"Sumter County, AL"	"01119"	"Female"	"F"	6743
	"Sumter County, AL"	"01119"	"Male"	"M"	5684
"Total"	"Sumter County, AL"	"01119"			12427
	"Talladega County, AL"	"01121"	"Female"	"F"	41499
	"Talladega County, AL"	"01121"	"Male"	"M"	38479
"Total"	"Talladega County, AL"	"01121"			79978
	"Tallapoosa County, AL"	"01123"	"Female"	"F"	20805
	"Tallapoosa County, AL"	"01123"	"Male"	"M"	19562
"Total"	"Tallapoosa County, AL"	"01123"			40367
	"Tuscaloosa County, AL"	"01125"	"Female"	"F"	108575
	"Tuscaloosa County, AL"	"01125"	"Male"	"M"	100780
"Total"	"Tuscaloosa County, AL"	"01125"			209355
	"Walker County, AL"	"01127"	"Female"	"F"	32539
